algorithm,topology,size,average_time
gossip,full,500,1.34
gossip,full,1000,1.88
gossip,full,1500,4.80
gossip,full,2000,10.29
gossip,full,2500,31.82
gossip,full,3000,51.61
gossip,full,3500,32.58
gossip,full,4000,23.91
gossip,full,4500,177.70
gossip,full,5000,121.81
gossip,full,5500,898.57
gossip,full,6000,720.24
gossip,full,6500,1323.77
gossip,full,7000,2188.31
gossip,full,7500,2550.76
gossip,full,8000,3293.59
gossip,full,8500,3773.81
gossip,full,9000,4572.58
gossip,full,9500,4349.49
gossip,full,10000,6582.82
gossip,line,500,.61
gossip,line,1000,2.13
gossip,line,1500,4.92
gossip,line,2000,4.53
gossip,line,2500,7.95
gossip,line,3000,6.94
gossip,line,3500,11.29
gossip,line,4000,12.77
gossip,line,4500,14.33
gossip,line,5000,17.81
gossip,line,5500,21.73
gossip,line,6000,26.39
gossip,line,6500,26.68
gossip,line,7000,26.15
gossip,line,7500,37.27
gossip,line,8000,35.59
gossip,line,8500,33.40
gossip,line,9000,29.44
gossip,line,9500,29.22
gossip,line,10000,29.12
gossip,3D,500,1.84
gossip,3D,1000,2.90
gossip,3D,1500,2.23
gossip,3D,2000,3.54
gossip,3D,2500,4.17
gossip,3D,3000,4.71
gossip,3D,3500,3.60
gossip,3D,4000,3.11
gossip,3D,4500,4.36
gossip,3D,5000,4.39
gossip,3D,5500,3.44
gossip,3D,6000,4.43
gossip,3D,6500,10.50
gossip,3D,7000,3.63
gossip,3D,7500,5.38
gossip,3D,8000,4.00
gossip,3D,8500,7.40
gossip,3D,9000,7.04
gossip,3D,9500,8.06
gossip,3D,10000,5.72
gossip,imp3D,500,7.86
gossip,imp3D,1000,9.49
gossip,imp3D,1500,16.06
gossip,imp3D,2000,18.33
gossip,imp3D,2500,21.99
gossip,imp3D,3000,37.37
gossip,imp3D,3500,28.02
gossip,imp3D,4000,27.57
gossip,imp3D,4500,32.63
gossip,imp3D,5000,53.20
gossip,imp3D,5500,33.96
gossip,imp3D,6000,54.78
gossip,imp3D,6500,39.15
gossip,imp3D,7000,44.46
gossip,imp3D,7500,58.47
gossip,imp3D,8000,44.43
gossip,imp3D,8500,65.99
gossip,imp3D,9000,63.89
gossip,imp3D,9500,45.01
gossip,imp3D,10000,49.63
push-sum,full,500,.32
push-sum,full,1000,.45
push-sum,full,1500,.82
push-sum,full,2000,.86
push-sum,full,2500,1.14
push-sum,full,3000,1.53
push-sum,full,3500,1.33
push-sum,full,4000,.85
push-sum,full,4500,1.29
push-sum,full,5000,2.31
push-sum,full,5500,1.69
push-sum,full,6000,1.14
push-sum,full,6500,4.88
push-sum,full,7000,1.15
push-sum,full,7500,4.80
push-sum,full,8000,1.55
push-sum,full,8500,3.34
push-sum,full,9000,5.78
push-sum,full,9500,1.80
push-sum,full,10000,2.14
push-sum,line,500,2.25
push-sum,line,1000,4.26
push-sum,line,1500,7.28
push-sum,line,2000,8.97
push-sum,line,2500,11.74
push-sum,line,3000,18.03
push-sum,line,3500,16.39
push-sum,line,4000,18.97
push-sum,line,4500,18.56
push-sum,line,5000,17.88
push-sum,line,5500,35.39
push-sum,line,6000,23.40
push-sum,line,6500,24.04
push-sum,line,7000,28.34
push-sum,line,7500,35.23
push-sum,line,8000,33.40
push-sum,line,8500,30.26
push-sum,line,9000,39.81
push-sum,line,9500,54.48
push-sum,line,10000,31.22
push-sum,3D,500,.27
push-sum,3D,1000,.30
push-sum,3D,1500,.36
push-sum,3D,2000,.41
push-sum,3D,2500,.57
push-sum,3D,3000,.64
push-sum,3D,3500,.56
push-sum,3D,4000,1.17
push-sum,3D,4500,1.08
push-sum,3D,5000,1.31
push-sum,3D,5500,1.45
push-sum,3D,6000,1.53
push-sum,3D,6500,2.48
push-sum,3D,7000,1.36
push-sum,3D,7500,1.40
push-sum,3D,8000,.98
push-sum,3D,8500,3.23
push-sum,3D,9000,2.89
push-sum,3D,9500,4.46
push-sum,3D,10000,1.39
push-sum,imp3D,500,.27
push-sum,imp3D,1000,.37
push-sum,imp3D,1500,.37
push-sum,imp3D,2000,.42
push-sum,imp3D,2500,.54
push-sum,imp3D,3000,.56
push-sum,imp3D,3500,1.19
push-sum,imp3D,4000,.65
push-sum,imp3D,4500,1.80
push-sum,imp3D,5000,.75
push-sum,imp3D,5500,.78
push-sum,imp3D,6000,1.04
push-sum,imp3D,6500,2.26
push-sum,imp3D,7000,2.87
push-sum,imp3D,7500,1.92
push-sum,imp3D,8000,3.27
push-sum,imp3D,8500,2.69
push-sum,imp3D,9000,3.08
push-sum,imp3D,9500,3.23
push-sum,imp3D,10000,1.25
